year,player,pff_id
2014,Joshua McCain,185
2014,Jordan Williams-Lambert,117
2014,Eugene Lewis,266
2014,Alton Howard,307
2014,Christopher Harper,130
2014,Temuchin Hodges,337
2014,JoJo Natson,329
2014,Richard Montgomery Jr.,185
2014,Jalen Rowell,101
2014,Deon Watson,185
2014,Bobo Wilson,167
2014,David Washington,263
2014,Danny Vitale,256
2014,Hansell Wilson,285
2014,Justin Podrabsky,185
2014,Busta Anderson,289
2014,Matthew Miller,120
2014,Josh Bordner,121
2014,Marcell Ateman,262
2014,Jacob Sannon,185
2014,Leondre James,319
2014,Cory Avery,198
2014,Nate Hairston,306
2014,Stanley Williams,202
2014,Ike Lewis,108
2014,David Ungerer III,185
2014,Elijhaa Penny,185
2014,Mikah Holder,284
2014,Jordan Pu`u-Robinson,180
2014,Jonathon Rumph,173
2014,Jayme Taylor,256
2014,Jordon Vaden,144
2014,Kenneth Towns,173
2014,Dareyon Chance,347
2014,Kristoffer Olugbode,185
2014,Jay Warren,165
2014,DeBrandon Sanders,237
2014,Randy Price,314
2014,Kawmae Sawyer,259
2014,Johnny Mundt,264
2014,Nick Arcidiacono,278
2014,Ralph David Abernathy IV,138
2014,Jared Klingenberg,185
2014,Edward Barksdale III,223
2014,Trent Cowan,185
2014,Derrek Thomas,306
2014,Mark Szott,256
2014,Jerrel Brown,185
2014,Denzel Jones Jr.,102
2014,Grant Martinez,110
2014,Raheem Falkins,103
2014,Drake Whitehurst,130
2014,Jaleel Canty,160
2014,Sanford Seay,208
2014,Jeff Ward,174
2014,Jeff Allen,102
2014,Quan West,193
2014,David Manoa,180
2014,Austin Gearing,221
2014,Myles Norwood,273
2014,Stephen Baggett,156
2014,Shakeem Jefferson,209
2014,EJ Sardinha,225
2014,Cameron Oliver,182
2014,Ryan Pasoquen,180
2014,Tyrin Stone-Davis,187
2014,Grant Childress,208
2014,Joe Stocstill,307
2014,Chad Cook,296
2014,Kolton Shindelar,320
2014,Conner Crane,300
2014,Henri Jussila,325
2014,Brendan Landman,110
2014,Kameron Maye,174
2014,Matt Moen,239
2014,Jackson Boyer,245
2014,Chris Terry,311
2014,Malik Mitchell,254
2014,Rahmaan Patterson,305
2014,Quinton Singleton,237
2014,C.J. Bradshaw,263
2014,Dylan Turner,174
2014,Colton Caldwell,126
2014,Jeffrey Jay,121
2014,Clinton Jones,327
2014,John Jakubik,223
2014,Tyler Scalzi,315
2014,Blair Tushaus,109
2014,Jordan Frysinger,185
2014,Brady Jones,331
2014,Marshall Ellick,306
2014,Cooper Harrington,296
2014,Marc Meier,237
2015,Jordan Williams-Lambert,117
2015,Robbie Chosen,306
2015,Callen Hightower,185
2015,Dezmon Epps,185
2015,Bobo Wilson,167
2015,Temuchin Hodges,337
2015,Deon Watson,185
2015,Marcell Ateman,262
2015,Trent Cowan,185
2015,Tyrian Taylor,242
2015,Jalen Rowell,101
2015,Danny Vitale,256
2015,Hansell Wilson,285
2015,Mikah Holder,284
2015,Royce Caldwell,242
2015,D.J. Taylor,187
2015,Eugene Lewis,266
2015,Elijhaa Penny,185
2015,Nate German,275
2015,Tyrone Young-Smith,328
2015,Gary Haynes,207
2015,D'erren Wilson,323
2015,Traveon Samuel,210
2015,Chris Johnson,323
2015,Trever Ryen,193
2015,Terian Goree,251
2015,Jante Boston,185
2015,Devante Peete,210
2015,Reuben Mwehla,185
2015,Tanner McEvoy,349
2015,Nick Patti,323
2015,Jordon Vaden,144
2015,Micky Crum,210
2015,Richard Murphy,136
2015,Stanley Williams,202
2015,Justin Bolus,136
2015,Ke'aun Kinner,198
2015,Nick Arcidiacono,278
2015,Tyron Billy-Johnson,211
2015,Kano Dillon,327
2015,Jacob Sannon,185
2015,Gump Hayes,110
2015,DeBrandon Sanders,237
2015,Nate Wozniak,225
2015,Derek Barnes,224
2015,Austin Grammer,224
2015,Nick Westbrook-Ikhine,190
2015,Cam Hilton,229
2015,Isaac Whitney,326
2015,Stoney Hawkins,209
2015,Johnny Mundt,264
2015,Nick Mathews,214
2015,Kawmae Sawyer,259
2015,Jelani Roberts,256
2015,Sanford Seay,208
2015,Kyle Hoffman,136
2015,Aeris Williams,227
2015,Ricky Parks,296
2015,Derek Longoria,287
2015,Malike Roberson,285
2015,Buddy Howell,165
2015,Elijah Wellman,343
2015,Moe Ways,222
2015,Jeffrey Coprich,130
2015,Leon Thornton,190
2015,Sean Smith,224
2015,Stephen Baggett,156
2015,Aaron Cochran,323
2015,Aaron Duckworth,185
2015,Clayton Granch,242
2015,Grant Childress,208
2015,D'Aundrey Bradley,251
2015,Isaiah Saunders,185
2015,Isaiah Gentry-Madaris,225
2015,Alton Howard,307
2015,Kenneth Towns,173
2015,Ralph David Abernathy IV,307
2015,LaQuan McGowan,118
2015,Jackson Porter,216
2015,Tymon Locklin,242
2015,Cody Small,199
2015,Ty Clemons,224
2015,Zach Bumgarner,136
2015,Buck Jones,305
2015,Dameko Doddles,351
2015,Dalton Stogner,245
2015,Garrett Anderson,146
2015,Dontavian Lee,227
2015,Daniel Fields,324
2015,Thaddeus Snodgrass,202
2015,Calvary Pugh,185
2015,Glenn Welch,173
2015,Lynn Griffin,176
2015,Tyler Luatua,258
2015,R.J. Tyler,136
2015,Jay Warren,165
2015,Lorenzo Cryer,207
2015,Darrell Fuery,169
2015,Connor Lemieux,216
2015,Hayden Jones,143
2015,Zach Allen,305
2015,Jaqwis Dancy,208
2015,Dontae Owens,278
2015,Adrian Falconer,192
2015,Tanner Langvardt,199
2015,David Bouvier,202
2015,Spencer Gilbert,117
2015,Evan Wilson,327
2015,David Ungerer III,185
2015,John Freismuth,144
2015,Matavius Scott,175
2015,Matthew Eaton,306
2015,Joe Stocstill,307
2015,Morgan Steward,229
2015,Thaddaeus Medford,208
2015,Tyrin Stone-Davis,187
2015,David Sutton,238
2015,Sean Burke,121
2015,Louie Addazio,121
2015,Brandon Oliver,176
2015,Donte Thomas-Williams,343
2015,Lucas Hamilton,224
2015,Triston Crossland,331
2015,Kevin Johnson,287
2015,Jack Gammon,214
2015,Kwadarrius Smith,102
2016,JoJo Natson,102
2016,Nick Westbrook-Ikhine,190
2016,Allenzae Staggers,296
2016,Temuchin Hodges,337
2016,Deon Watson,185
2016,Trent Cowan,185
2016,Jalen Rowell,101
2016,Alfonso Onunwor,185
2016,Callen Hightower,185
2016,Terian Goree,251
2016,Trever Ryen,193
2016,Mikah Holder,284
2016,Cory Butler-Byrd,328
2016,Bobo Wilson,167
2016,KJ Stepherson,258
2016,Jacob Sannon,185
2016,Johnnie Niupalau,160
2016,Eugene Lewis,261
2016,Johnny Mundt,264
2016,Tyrian Taylor,242
2016,Nate German,275
2016,K.C. Crosby,289
2016,D'Eriq King,182
2016,Jordan Frysinger,185
2016,Traveon Samuel,210
2016,Artavis Pierce,265
2016,Tyrone Young-Smith,328
2016,Maaseiah Francis,288
2016,Reuben Mwehla,185
2016,Nate Wozniak,225
2016,Malike Roberson,285
2016,Ke'aun Kinner,198
2016,Nick Arcidiacono,278
2016,D.J. Taylor,187
2016,Avery Johnson,138
2016,Royce Caldwell,242
2016,Kano Dillon,327
2016,Ronald Cleveland,101
2016,Isaiah Saunders,185
2016,Kyle Hoffman,136
2016,Zy Letman,108
2016,Gary Haynes,207
2016,Dimitri Flowers,261
2016,Buddy Howell,165
2016,Clayton Granch,242
2016,Justin Bolus,136
2016,Stanley Williams,202
2016,Aaron Duckworth,185
2016,David Ungerer III,185
2016,L.G. Williams,314
2016,Aeris Williams,227
2016,Deangelo Antoine,327
2016,Benny LeMay,136
2016,Dominic Walker,318
2016,Jabir Daughtry-Frye,318
2016,Denzal Brantley,185
2016,Cheyenne O'Grady,111
2016,Stephen Baggett,156
2016,Kyle Nevels,209
2016,Terelle West,224
2016,Devante Peete,210
2016,Devin C. Butler,304
2016,Anthony D. Taylor,314
2016,Isaac Whitney,326
2016,Nick Mathews,214
2016,Adrian Falconer,192
2016,Hampton McConnell,174
2016,Nahshon Ellerbe,275
2016,Zach Bumgarner,136
2016,Micky Crum,210
2016,Jeffrey Coprich,156
2016,Dontavian Lee,227
2016,Leon Thornton,190
2016,Jean-Andre Moore,330
2016,Zarrian Holcombe,187
2016,Tyler Hanneke,229
2016,Justin Rice,169
2016,Denzel Jones Jr.,102
2016,D'erren Wilson,323
2016,R.J. Tyler,136
2016,Darick Holmes Jr.,109
2016,Chancellor Triplett,175
2016,Caleb Roddy,211
2016,Cole Blackman,335
2016,Brandon Rodgers,214
2016,Mac Carey,166
2016,Kaleb Harris,214
2016,Malcolm Dotson,273
2016,Devonte Young,192
2016,Luke Peterman,114
2016,Michael Garner,185
2016,Tim Helton,259
2016,Andre Petties-Wilson,305
2016,Jabari Greenwood,202
2016,Raphael Barr,288
2016,Lemar Harris,160
2016,John Freismuth,144
2016,Josh Malin,118
2016,Jordan Jones,331
2016,Michael Carroll,305
2016,Gio Pascascio,210
2016,Josh Herman,185
2016,Michael Giacone,121
2016,Isaac James-Gray,190
2016,Randall Smith,320
2016,Brady Strodtbeck,185
2016,Avery Johnson,113
2016,Lynn Griffin,176
2016,Jelani Roberts,256
2016,Grant Newell,262
2016,Xavier Burke,337
2016,LeVander Brown,285
2016,Darian Williams,102
2017,Alfonso Onunwor,185
2017,Jacob Sannon,185
2017,Marcell Ateman,262
2017,Allenzae Staggers,296
2017,Mikah Holder,284
2017,Trever Ryen,193
2017,Devin C. Butler,304
2017,David Ungerer III,185
2017,Conner Cramer,242
2017,Johnnie Niupalau,160
2017,Gabe Davis,323
2017,KJ Stepherson,258
2017,Reggie Todd,227
2017,Traveon Samuel,210
2017,Cheyenne O'Grady,111
2017,Reuben Mwehla,185
2017,Dimitri Flowers,261
2017,Tyron Billy-Johnson,262
2017,Matthew Eaton,193
2017,R.J. Tyler,136
2017,Ronald Cleveland,101
2017,Aeris Williams,227
2017,Anthony D. Taylor,314
2017,Stephen Baggett,156
2017,Kano Dillon,327
2017,Artavis Pierce,265
2017,Micky Crum,210
2017,Mark Williams,225
2017,Aaron Duckworth,185
2017,Zy Letman,108
2017,Deangelo Antoine,327
2017,Nate Wozniak,225
2017,Maaseiah Francis,288
2017,Dillon Birden,182
2017,Terelle West,224
2017,Billy Bob Humphreys,285
2017,J.D. Moore,211
2017,JaQuay Savage,138
2017,Morgan Ellison,190
2017,Klyde Chriss,312
2017,Nick Mathews,214
2017,Jeremy Kelly,285
2017,Benny LeMay,136
2017,Nahshon Ellerbe,275
2017,Isaiah Saunders,185
2017,Joseph Wysocki,185
2017,Kenedy Snell,305
2017,Mason Petrino,185
2017,Malike Roberson,285
2017,Jante Boston,185
2017,Jaqwis Dancy,208
2017,K.C. Crosby,289
2017,Mohamed Jabbie,278
2017,Tre Odoms-Dukes,327
2017,Connor Ketter,238
2017,Kade Waguespack,101
2017,Will Phillips,275
2017,Leonard Skattebo,122
2017,Ruben Flowers III,268
2017,Nolan Borgersen,121
2017,Austin Kafentzis,128
2017,Quardraiz Wadley,330
2017,J.J. Wills,185
2017,Earl Bostick Jr.,198
2017,JJ Holloman,173
2017,Nathan Cottrell,176
2017,Michael Garner,185
2017,Monterio Hunt,214
2017,Rhett Blackman,316
2017,Erik Krommenhoek,326
2017,David Ducre,211
2017,Forest McKee,330
2017,Drew Hmielewski,225
2017,Dylan Thigpen,185
2017,Joshua Shelmire,287
2017,B.J. Casteel,109
2017,Chris High,237
2017,Kendall Smith,187
2017,Jay Tyler,300
2017,Donte Ross,201
2017,Ivan Wilson,208
2017,Perry Carter,209
2017,Bobby Mitchell,165
2017,Tyler Jaynes,118
2017,Markel Davis,259
2017,Ahmir Mitchell,278
2017,James Sriraman,339
2017,Benaiah Franklin,273
2017,Austin Parker,262
2017,Keyan Marshall,160
2017,Jack Banda,109
2017,Luke Hyde,185
2017,Quantino Allen,265
2017,A.J. Sattinger,166
2017,Jackson Tirmonia,256
2017,Berdale Robins,239
2017,Rickey Shumway,128
2017,Trevor Steinke,327
2017,Buddy Howell,165
2017,Tristan Davis,122
2017,Allen Stritzinger,304
2017,Tyler Fleetwood,221
2017,Chris Gajcak,190
2017,Kesean Gamble,201
2017,Jared Poplawski,143
2017,Robert Ursua,331
2017,Keevon Harris,259
2018,Tyron Billy-Johnson,262
2018,Gabe Davis,323
2018,Nick Westbrook-Ikhine,190
2018,Moe Ways,130
2018,Stephon Robinson Jr.,198
2018,Royce Caldwell,242
2018,Cheyenne O'Grady,111
2018,Matthew Eaton,193
2018,JJ Holloman,173
2018,Reese Taylor,190
2018,Devante Peete,210
2018,Micky Crum,210
2018,Jayshon Jackson,138
2018,Devin C. Butler,304
2018,Malike Roberson,285
2018,Ronald Cleveland,101
2018,Benny LeMay,136
2018,Jabir Daughtry-Frye,318
2018,Terelle West,224
2018,CJ Marable,141
2018,Jaqwis Dancy,208
2018,Joshua Fleeks,118
2018,Sitaleki Nunn,285
2018,Artavis Pierce,265
2018,Kade Waguespack,101
2018,K.C. Crosby,289
2018,Quardraiz Wadley,330
2018,Aeris Williams,227
2018,Shemar Thornton,166
2018,Chase Brown,347
2018,Anthony D. Taylor,314
2018,Dorian Hendrix,122
2018,Billy Bob Humphreys,285
2018,Brayden Lenius,241
2018,Kyle Groeneweg,192
2018,Luke Shiflett,224
2018,Xavier Smith,156
2018,Deangelo Antoine,327
2018,Rhett Blackman,316
2018,Keke McFadden,201
2018,Mohamed Jabbie,278
2018,Pokey Wilson,167
2018,Maurice Mayo,288
2018,Daishawn Brimage,102
2018,Traveon Samuel,318
2018,R.J. Tyler,136
2018,D'Angelo Ellis,275
2018,Cameron Sullivan-Brown,266
2018,Treveon Johnson,287
2018,D'Shawn Jamison,311
2018,Erik Krommenhoek,326
2018,Cole Fagan,101
2018,Kris Reed,296
2018,Jake McCurry,222
2018,Quantino Allen,265
2018,William Crest Jr.,343
2018,Caperton Humphrey,198
2018,Jelani Roberts,256
2018,Mandela Lawrence-Burke,201
2018,Devon Jackson,224
2018,Jared Wangler,222
2018,R.J. Raymond,163
2018,Andre Hunt,238
2018,Harry Schwartz,300
2018,Ty Watkins,224
2018,Duran Bell Jr.,327
2018,Mitchell Lewis,206
2018,Ja'Kori Morgan,182
2018,Jordan Byrd,284
2018,Isiah Pannunzio,144
2018,Taven Birdow,101
2018,Tyler Fleetwood,221
2018,Tre Odoms-Dukes,327
2018,Trevis Graham ,314
2018,Damien Darden,248
2018,Chase Gianacakos,223
2018,Elijah Davis,263
2018,AC White,263
2018,Braden Collins,108
2018,Tre Adams,109
2018,Bryce Bramscher,265
2018,Brian Sanders,122
2018,Tajudeen Mustapha,349
2018,CJ Fletcher,209
2018,Jaquavis Dixon,102
2018,Chris Gajcak,190
2018,Maaseiah Francis,288
2018,Cade Hackey,241
2018,Markel Davis,259
2018,Colin Debord,122
2018,Cooper McCaw,206
2018,Michael Smith,268
2018,Tyler Hayek,278
2018,Keevon Harris,259
2018,Ishod Byarm,136
2018,Austin Ahrendt,305
2018,Luke Benzschawel,349
2018,Tobias Enlow,111
2018,K.K. Hahn,304
2018,Michael Queen,108
2018,Brian Dooley,160
2018,Mikey Alfieri,265
2018,Hunter Hill,218
2018,Brandon Mitchell,102
2018,Jalen Jordan,278
2018,Lemar Harris,160
2018,Malik Wooldridge,102
2018,Wade Buckman,347
2018,Mason Keeler,351
2018,Tyrin Summers,138
2018,Alex Ofodile,229
2018,Mo Edwards Jr.,288
2018,Christian Williams,305
2019,Gabe Davis,323
2019,Bradley Rozner,275
2019,Shemar Thornton,166
2019,Deangelo Antoine,165
2019,Stephon Robinson Jr.,198
2019,Reggie Todd,318
2019,Nick Westbrook-Ikhine,190
2019,B.J. Casteel,109
2019,Cheyenne O'Grady,111
2019,CJ Marable,141
2019,Trevis Graham ,314
2019,Joshua Fleeks,118
2019,Pokey Wilson,167
2019,Jayshon Jackson,138
